Categoria|Distância (m)|RSSI (dBm) media|RSSI (dBm) minimo|RSSI (dBm) maximo
nao realistico|92.0|-67.5398112756|-67.5398112756|-67.5398112756
nao realistico|93.0|-67.7163181258|-67.7163181258|-67.7163181258
nao realistico|94.0|-67.8909377913|-67.8909377913|-67.8909377913
nao realistico|95.0|-68.063710194|-68.063710194|-68.063710194
nao realistico|96.0|-68.2346740027|-68.2346740027|-68.2346740027
nao realistico|97.0|-68.4038666845|-68.4038666845|-68.4038666845
nao realistico|98.0|-68.5713245546|-68.5713245546|-68.5713245546
nao realistico|99.0|-68.7370828227|-68.7370828227|-68.7370828227
nao realistico|100.0|-68.9011756374|-68.9011756374|-68.9011756374
nao realistico|101.0|-69.0636361285|-69.0636361285|-69.0636361285
nao realistico|102.0|-69.2244964474|-69.2244964474|-69.2244964474
nao realistico|103.0|-69.38378780449999|-69.38378780449999|-69.38378780449999
nao realistico|104.0|-69.5415405064|-69.5415405064|-69.5415405064
nao realistico|105.0|-69.6977839899|-69.6977839899|-69.6977839899
nao realistico|106.0|-69.8525468553|-69.8525468553|-69.8525468553
nao realistico|107.0|-70.0058568975|-70.0058568975|-70.0058568975
nao realistico|108.0|-70.1577411362|-70.1577411362|-70.1577411362
nao realistico|109.0|-70.3082258443|-70.3082258443|-70.3082258443
nao realistico|110.0|-70.4573365752|-70.4573365752|-70.4573365752
nao realistico|111.0|-70.605098189|-70.605098189|-70.605098189
nao realistico|112.0|-70.751534877|-70.751534877|-70.751534877
nao realistico|113.0|-70.89667018590002|-70.89667018590002|-70.89667018590002
nao realistico|114.0|-71.0405270401|-71.0405270401|-71.0405270401
nao realistico|115.0|-71.1831277637|-71.1831277637|-71.1831277637
nao realistico|116.0|-71.32449410120002|-71.32449410120002|-71.32449410120002
nao realistico|117.0|-71.4646472374|-71.4646472374|-71.4646472374
nao realistico|118.0|-71.6036078163|-71.6036078163|-71.6036078163
nao realistico|119.0|-71.7413959597|-71.7413959597|-71.7413959597
nao realistico|120.0|-71.8780312842|-71.8780312842|-71.8780312842
nao realistico|121.0|-72.0135329184|-72.0135329184|-72.0135329184
nao realistico|122.0|-72.1479195186|-72.1479195186|-72.1479195186
nao realistico|123.0|-72.2812092845|-72.2812092845|-72.2812092845
nao realistico|124.0|-72.4134199738|-72.4134199738|-72.4134199738
nao realistico|125.0|-72.54456891650001|-72.54456891650001|-72.54456891650001
nao realistico|126.0|-72.6746730285|-72.6746730285|-72.6746730285
nao realistico|127.0|-72.8037488245|-72.8037488245|-72.8037488245
nao realistico|128.0|-72.931812431|-72.931812431|-72.931812431
nao realistico|129.0|-73.0588795979|-73.0588795979|-73.0588795979
nao realistico|130.0|-73.1849657106|-73.1849657106|-73.1849657106
nao realistico|131.0|-73.31008580069998|-73.31008580069998|-73.31008580069998
nao realistico|132.0|-73.4342545571|-73.4342545571|-73.4342545571
nao realistico|133.0|-73.5574863361|-73.5574863361|-73.5574863361
nao realistico|134.0|-73.67979517170001|-73.67979517170001|-73.67979517170001
nao realistico|135.0|-73.8011947849|-73.8011947849|-73.8011947849
nao realistico|136.0|-73.92169859279998|-73.92169859279998|-73.92169859279998
nao realistico|137.0|-74.041319718|-74.041319718|-74.041319718
nao realistico|138.0|-74.1600709967|-74.1600709967|-74.1600709967
nao realistico|139.0|-74.2779649872|-74.2779649872|-74.2779649872
nao realistico|140.0|-74.3950139776|-74.3950139776|-74.3950139776
nao realistico|141.0|-74.5112299941|-74.5112299941|-74.5112299941
nao realistico|142.0|-74.6266248077|-74.6266248077|-74.6266248077
nao realistico|143.0|-74.7412099418|-74.7412099418|-74.7412099418
nao realistico|144.0|-74.8549966787|-74.8549966787|-74.8549966787
nao realistico|145.0|-74.9679960668|-74.9679960668|-74.9679960668
nao realistico|146.0|-75.0802189267|-75.0802189267|-75.0802189267
nao realistico|147.0|-75.1916758575|-75.1916758575|-75.1916758575
nao realistico|148.0|-75.3023772425|-75.3023772425|-75.3023772425
nao realistico|149.0|-75.4123332558|-75.4123332558|-75.4123332558
nao realistico|150.0|-75.5215538669|-75.5215538669|-75.5215538669
nao realistico|151.0|-75.6300488469|-75.6300488469|-75.6300488469
nao realistico|152.0|-75.7378277733|-75.7378277733|-75.7378277733
nao realistico|153.0|-75.8449000354|-75.8449000354|-75.8449000354
nao realistico|154.0|-75.951274839|-75.951274839|-75.951274839
nao realistico|155.0|-76.0569612109|-76.0569612109|-76.0569612109
nao realistico|156.0|-76.1619680043|-76.1619680043|-76.1619680043
nao realistico|157.0|-76.2663039023|-76.2663039023|-76.2663039023
nao realistico|158.0|-76.3699774229|-76.3699774229|-76.3699774229
nao realistico|159.0|-76.4729969227|-76.4729969227|-76.4729969227
nao realistico|160.0|-76.5753706014|-76.5753706014|-76.5753706014
nao realistico|161.0|-76.6771065052|-76.6771065052|-76.6771065052
nao realistico|162.0|-76.778212531|-76.778212531|-76.778212531
nao realistico|163.0|-76.8786964301|-76.8786964301|-76.8786964301
nao realistico|164.0|-76.9785658113|-76.9785658113|-76.9785658113
nao realistico|165.0|-77.0778281448|-77.0778281448|-77.0778281448
nao realistico|166.0|-77.1764907656|-77.1764907656|-77.1764907656
nao realistico|167.0|-77.2745608762|-77.2745608762|-77.2745608762
nao realistico|168.0|-77.37204555040002|-77.37204555040002|-77.37204555040002
nao realistico|169.0|-77.4689517361|-77.4689517361|-77.4689517361
nao realistico|170.0|-77.5652862579|-77.5652862579|-77.5652862579
nao realistico|171.0|-77.6610558208|-77.6610558208|-77.6610558208
nao realistico|172.0|-77.7562670123|-77.7562670123|-77.7562670123
nao realistico|173.0|-77.85092630519999|-77.85092630519999|-77.85092630519999
nao realistico|174.0|-77.9450400609|-77.9450400609|-77.9450400609
nao realistico|175.0|-78.0386145308|-78.0386145308|-78.0386145308
nao realistico|176.0|-78.13165586|-78.13165586|-78.13165586
nao realistico|177.0|-78.22417008890001|-78.22417008890001|-78.22417008890001
nao realistico|178.0|-78.3161631559|-78.3161631559|-78.3161631559
nao realistico|179.0|-78.4076408996|-78.4076408996|-78.4076408996
nao realistico|180.0|-78.498609061|-78.498609061|-78.498609061
nao realistico|181.0|-78.5890732857|-78.5890732857|-78.5890732857
nao realistico|182.0|-78.6790391262|-78.6790391262|-78.6790391262
nao realistico|183.0|-78.7685120434|-78.7685120434|-78.7685120434
nao realistico|184.0|-78.8574974092|-78.8574974092|-78.8574974092
nao realistico|185.0|-78.946000508|-78.946000508|-78.946000508
nao realistico|186.0|-79.0340265389|-79.0340265389|-79.0340265389
nao realistico|187.0|-79.1215806172|-79.1215806172|-79.1215806172
nao realistico|188.0|-79.2086677766|-79.2086677766|-79.2086677766
nao realistico|189.0|-79.2952929706|-79.2952929706|-79.2952929706
nao realistico|190.0|-79.38146107409999|-79.38146107409999|-79.38146107409999
nao realistico|191.0|-79.4671768855|-79.4671768855|-79.4671768855
nao realistico|192.0|-79.552445128|-79.552445128|-79.552445128
nao realistico|193.0|-79.6372704511|-79.6372704511|-79.6372704511
nao realistico|194.0|-79.7216574323|-79.7216574323|-79.7216574323
nao realistico|195.0|-79.8056105785|-79.8056105785|-79.8056105785
nao realistico|196.0|-79.8891343274|-79.8891343274|-79.8891343274
nao realistico|197.0|-79.9722330489|-79.9722330489|-79.9722330489
nao realistico|198.0|-80.0549110468|-80.0549110468|-80.0549110468
nao realistico|199.0|-80.1371725596|-80.1371725596|-80.1371725596
nao realistico|200.0|-80.2190217622|-80.2190217622|-80.2190217622
nao realistico|201.0|-80.3004627669|-80.3004627669|-80.3004627669
nao realistico|202.0|-80.381499625|-80.381499625|-80.381499625
nao realistico|203.0|-80.4621363277|-80.4621363277|-80.4621363277
nao realistico|204.0|-80.5423768072|-80.5423768072|-80.5423768072
nao realistico|205.0|-80.6222249382|-80.6222249382|-80.6222249382
nao realistico|206.0|-80.7016845389|-80.7016845389|-80.7016845389
nao realistico|207.0|-80.7807593718|-80.7807593718|-80.7807593718
nao realistico|208.0|-80.8594531454|-80.8594531454|-80.8594531454
nao realistico|209.0|-80.9377695143|-80.9377695143|-80.9377695143
nao realistico|210.0|-81.0157120813|-81.0157120813|-81.0157120813
nao realistico|211.0|-81.0932843975|-81.0932843975|-81.0932843975
nao realistico|212.0|-81.1704899638|-81.1704899638|-81.1704899638
nao realistico|213.0|-81.2473322317|-81.2473322317|-81.2473322317
nao realistico|214.0|-81.3238146042|-81.3238146042|-81.3238146042
nao realistico|215.0|-81.3999404365|-81.3999404365|-81.3999404365
nao realistico|216.0|-81.4757130374|-81.4757130374|-81.4757130374
nao realistico|217.0|-81.5511356697|-81.5511356697|-81.5511356697
nao realistico|218.0|-81.6262115512|-81.6262115512|-81.6262115512
nao realistico|219.0|-81.7009438556|-81.7009438556|-81.7009438556
nao realistico|220.0|-81.7753357131|-81.7753357131|-81.7753357131
nao realistico|221.0|-81.8493902114|-81.8493902114|-81.8493902114
nao realistico|222.0|-81.9231103965|-81.9231103965|-81.9231103965
nao realistico|223.0|-81.996499273|-81.996499273|-81.996499273
nao realistico|224.0|-82.0695598056|-82.0695598056|-82.0695598056
nao realistico|225.0|-82.1422949191|-82.1422949191|-82.1422949191
nao realistico|226.0|-82.2147074994|-82.2147074994|-82.2147074994
nao realistico|227.0|-82.2868003943|-82.2868003943|-82.2868003943
nao realistico|228.0|-82.3585764141|-82.3585764141|-82.3585764141
nao realistico|229.0|-82.4300383319|-82.4300383319|-82.4300383319
nao realistico|230.0|-82.5011888849|-82.5011888849|-82.5011888849
nao realistico|231.0|-82.5720307746|-82.5720307746|-82.5720307746
nao realistico|232.0|-82.6425666672|-82.6425666672|-82.6425666672
nao realistico|233.0|-82.71279919499999|-82.71279919499999|-82.71279919499999
nao realistico|234.0|-82.782730956|-82.782730956|-82.782730956
nao realistico|235.0|-82.8523645153|-82.8523645153|-82.8523645153
nao realistico|236.0|-82.9217024053|-82.9217024053|-82.9217024053
nao realistico|237.0|-82.990747126|-82.990747126|-82.990747126
nao realistico|238.0|-83.0595011461|-83.0595011461|-83.0595011461
nao realistico|239.0|-83.1279669031|-83.1279669031|-83.1279669031
nao realistico|240.0|-83.1961468042|-83.1961468042|-83.1961468042
nao realistico|241.0|-83.2640432263|-83.2640432263|-83.2640432263
nao realistico|242.0|-83.3316585169|-83.3316585169|-83.3316585169
nao realistico|243.0|-83.3989949944|-83.3989949944|-83.3989949944
nao realistico|244.0|-83.4660549488|-83.4660549488|-83.4660549488
nao realistico|245.0|-83.5328406418|-83.5328406418|-83.5328406418
nao realistico|246.0|-83.5993543076|-83.5993543076|-83.5993543076
nao realistico|247.0|-83.66559815320001|-83.66559815320001|-83.66559815320001
nao realistico|248.0|-83.7315743587|-83.7315743587|-83.7315743587
nao realistico|249.0|-83.7972850781|-83.7972850781|-83.7972850781
nao realistico|250.0|-83.8627324394|-83.8627324394|-83.8627324394
nao realistico|251.0|-83.9279185451|-83.9279185451|-83.9279185451
nao realistico|252.0|-83.9928454727|-83.9928454727|-83.9928454727
nao realistico|253.0|-84.0575152749|-84.0575152749|-84.0575152749
nao realistico|254.0|-84.1219299802|-84.1219299802|-84.1219299802
nao realistico|255.0|-84.1860915931|-84.1860915931|-84.1860915931
nao realistico|256.0|-84.2500020947|-84.2500020947|-84.2500020947
nao realistico|257.0|-84.3136634429|-84.3136634429|-84.3136634429
nao realistico|258.0|-84.3770775726|-84.3770775726|-84.3770775726
nao realistico|259.0|-84.4402463966|-84.4402463966|-84.4402463966
nao realistico|260.0|-84.5031718052|-84.5031718052|-84.5031718052
nao realistico|261.0|-84.5658556673|-84.5658556673|-84.5658556673
nao realistico|262.0|-84.62829983|-84.62829983|-84.62829983
nao realistico|263.0|-84.6905061196|-84.6905061196|-84.6905061196
nao realistico|264.0|-84.7524763415|-84.7524763415|-84.7524763415
nao realistico|265.0|-84.8142122805|-84.8142122805|-84.8142122805
nao realistico|266.0|-84.8757157013|-84.8757157013|-84.8757157013
nao realistico|267.0|-84.936988349|-84.936988349|-84.936988349
nao realistico|268.0|-84.9980319487|-84.9980319487|-84.9980319487
nao realistico|269.0|-85.0588482065|-85.0588482065|-85.0588482065
nao realistico|270.0|-85.1194388095|-85.1194388095|-85.1194388095
nao realistico|271.0|-85.179805426|-85.179805426|-85.179805426
nao realistico|272.0|-85.2399497059|-85.2399497059|-85.2399497059
nao realistico|273.0|-85.2998732808|-85.2998732808|-85.2998732808
nao realistico|274.0|-85.3595777648|-85.3595777648|-85.3595777648
