Categoria|Distância(m)|PDR médio da aplicação(%)|PDR mínimo da aplicação(%)|PDR máximo da aplicação(%)|PDR médio da interface(%)|PDR mínimo da interface(%)|PDR máximo da interface(%)|RSSI médio(dBm)|RSSI mínimo(dBm)|RSSI máximo(dBm)|Atraso médio da aplicação(s)|Atraso mínimo da aplicação(s)|Atraso máximo da aplicação(s)|Atraso médio da interface(s)|Atraso mínimo da interface(s)|Atraso máximo da interface(s)
sem sombreamento e sem obstáculo|59.0|68.0|68.0|68.0|100.0|100.0|100.0|-89.00859407001987|-89.50389571935985|-88.51329242067989|3.354817417360027|3.354817417360027|3.354817417360027|0.08729620200007476|0.08729620200007476|0.08729620200007476
sem sombreamento e sem obstáculo|60.0|69.0|69.0|69.0|100.0|100.0|100.0|-88.29136522676579|-88.79395072388957|-87.78877972964202|3.4172263814500186|3.4172263814500186|3.4172263814500186|0.08729620500009228|0.08729620500009228|0.08729620500009228
sem sombreamento e sem obstáculo|61.0|69.0|69.0|69.0|100.0|100.0|100.0|-88.4683947109324|-88.97098020805599|-87.96580921380881|3.3534823842099284|3.3534823842099284|3.3534823842099284|0.08729620899997088|0.08729620899997088|0.08729620899997088
sem sombreamento e sem obstáculo|62.0|69.0|69.0|69.0|100.0|100.0|100.0|-88.6428238546659|-89.14540935179011|-88.1402383575417|3.349738386280005|3.349738386280005|3.349738386280005|0.08729621199987984|0.08729621199987984|0.08729621199987984
sem sombreamento e sem obstáculo|63.0|68.0|68.0|68.0|100.0|100.0|100.0|-89.70146678338428|-90.19676843272299|-89.20616513404556|3.430017426199993|3.430017426199993|3.430017426199993|0.08729621499996403|0.08729621499996403|0.08729621499996403
sem sombreamento e sem obstáculo|64.0|69.0|69.0|69.0|100.0|100.0|100.0|-88.98416242059251|-89.4867479177166|-88.48157692346842|3.438826390419999|3.438826390419999|3.438826390419999|0.08729621800001411|0.08729621800001411|0.08729621800001411
sem sombreamento e sem obstáculo|65.0|69.0|69.0|69.0|100.0|100.0|100.0|-89.15120596022919|-89.65379145735255|-88.64862046310583|3.255082393180055|3.255082393180055|3.255082393180055|0.08729622200010362|0.08729622200010362|0.08729622200010362
sem sombreamento e sem obstáculo|66.0|69.0|69.0|69.0|100.0|100.0|100.0|-89.3159176236254|-89.81850312074829|-88.8133321265025|3.3713383952499862|3.3713383952499862|3.3713383952499862|0.08729622500001258|0.08729622500001258|0.08729622500001258
sem sombreamento e sem obstáculo|67.0|68.0|68.0|68.0|100.0|100.0|100.0|-90.35548368395986|-90.85078533329984|-89.86018203461988|3.5052174350399583|3.5052174350399583|3.5052174350399583|0.0872962279998533|0.0872962279998533|0.0872962279998533
sem sombreamento e sem obstáculo|68.0|69.0|69.0|69.0|100.0|100.0|100.0|-89.6385872334055|-90.14117273052959|-89.13600173628141|3.2804263993899805|3.2804263993899805|3.2804263993899805|0.08729623100004139|0.08729623100004139|0.08729623100004139
sem sombreamento e sem obstáculo|69.0|69.0|69.0|69.0|100.0|100.0|100.0|-89.79666067987381|-90.29924617699758|-89.29407518275003|3.336682402150036|3.336682402150036|3.336682402150036|0.08729623500002545|0.08729623500002545|0.08729623500002545
sem sombreamento e sem obstáculo|70.0|68.0|68.0|68.0|100.0|100.0|100.0|-90.82288512992787|-91.31818677926785|-90.32758348058789|3.4275854418400558|3.4275854418400558|3.4275854418400558|0.08729623800012204|0.08729623800012204|0.08729623800012204
sem sombreamento e sem obstáculo|71.0|69.0|69.0|69.0|100.0|100.0|100.0|-90.1065582306641|-90.6091437277885|-89.6039727335397|3.3657704062900304|3.3657704062900304|3.3657704062900304|0.08729624099994883|0.08729624099994883|0.08729624099994883
sem sombreamento e sem obstáculo|72.0|69.0|69.0|69.0|100.0|100.0|100.0|-90.2584859067461|-90.7610714038705|-89.7559004096217|3.302026409050013|3.302026409050013|3.302026409050013|0.08729624500003832|0.08729624500003832|0.08729624500003832
sem sombreamento e sem obstáculo|73.0|69.0|69.0|69.0|100.0|100.0|100.0|-90.4084655481734|-90.91105104529629|-89.9058800510505|3.418282411120017|3.418282411120017|3.418282411120017|0.08729624800005273|0.08729624800005273|0.08729624800005273
sem sombreamento e sem obstáculo|74.0|68.0|68.0|68.0|100.0|100.0|100.0|-91.41804388765786|-91.91334553699613|-90.92274223831959|3.5027854506799487|3.5027854506799487|3.5027854506799487|0.08729625100001132|0.08729625100001132|0.08729625100001132
sem sombreamento e sem obstáculo|75.0|69.0|69.0|69.0|100.0|100.0|100.0|-90.7027686112349|-91.20535410835683|-90.20018311411297|3.2073704152600113|3.2073704152600113|3.2073704152600113|0.0872962539999761|0.0872962539999761|0.0872962539999761
sem sombreamento e sem obstáculo|76.0|69.0|69.0|69.0|100.0|100.0|100.0|-90.8471819735411|-91.3497674706655|-90.3445964764167|3.323626418019994|3.323626418019994|3.323626418019994|0.08729625799996016|0.08729625799996016|0.08729625799996016
sem sombreamento e sem obstáculo|77.0|69.0|69.0|69.0|100.0|100.0|100.0|-90.9898273178479|-91.49241281497177|-90.48724182072402|3.4998824200899254|3.4998824200899254|3.4998824200899254|0.08729626099986912|0.08729626099986912|0.08729626099986912
sem sombreamento e sem obstáculo|78.0|68.0|68.0|68.0|100.0|100.0|100.0|-91.98392350738946|-92.47922515672703|-91.4886218580519|3.3379854595199867|3.3379854595199867|3.3379854595199867|0.08729626400000758|0.08729626400000758|0.08729626400000758
sem sombreamento e sem obstáculo|79.0|69.0|69.0|69.0|100.0|100.0|100.0|-91.2699776531831|-91.7725631503075|-90.7673921560587|3.288970424920044|3.288970424920044|3.288970424920044|0.08729626800007848|0.08729626800007848|0.08729626800007848
sem sombreamento e sem obstáculo|80.0|69.0|69.0|69.0|100.0|100.0|100.0|-91.4075611257384|-91.91014662286335|-90.90497562861344|3.4052264269899752|3.4052264269899752|3.4052264269899752|0.08729627099988199|0.08729627099988199|0.08729627099988199
sem sombreamento e sem obstáculo|81.0|68.0|68.0|68.0|100.0|100.0|100.0|-92.39072881898213|-92.88603046832131|-91.89542716964294|3.5003534663200115|3.5003534663200115|3.5003534663200115|0.08729627400006233|0.08729627400006233|0.08729627400006233
sem sombreamento e sem obstáculo|82.0|69.0|69.0|69.0|100.0|100.0|100.0|-91.67793135713211|-92.18051685425651|-91.17534586000771|3.2543144311299694|3.2543144311299694|3.2543144311299694|0.08729627700001626|0.08729627700001626|0.08729627700001626
sem sombreamento e sem obstáculo|83.0|69.0|69.0|69.0|100.0|100.0|100.0|-91.8107891926589|-92.31337468978083|-91.30820369553697|3.370570433890025|3.370570433890025|3.370570433890025|0.08729628100010577|0.08729628100010577|0.08729628100010577
sem sombreamento e sem obstáculo|84.0|69.0|69.0|69.0|100.0|100.0|100.0|-91.9421410089731|-92.4447265060975|-91.4395555118487|3.4868264359600287|3.4868264359600287|3.4868264359600287|0.08729628399990927|0.08729628399990927|0.08729628399990927
sem sombreamento e sem obstáculo|85.0|68.0|68.0|68.0|100.0|100.0|100.0|-92.91155553510467|-93.40685718444384|-92.4162538857655|3.33555347516005|3.33555347516005|3.33555347516005|0.08729628700005859|0.08729628700005859|0.08729628700005859
sem sombreamento e sem obstáculo|86.0|69.0|69.0|69.0|100.0|100.0|100.0|-92.2004566838662|-92.70304218098956|-91.69787118674283|3.275914440790002|3.275914440790002|3.275914440790002|0.0872962910000132|0.0872962910000132|0.0872962910000132
sem sombreamento e sem obstáculo|87.0|69.0|69.0|69.0|100.0|100.0|100.0|-92.3274830725359|-92.8300685696601|-91.8248975754117|3.452170442860006|3.452170442860006|3.452170442860006|0.0872962940000276|0.0872962940000276|0.0872962940000276
sem sombreamento e sem obstáculo|88.0|69.0|69.0|69.0|100.0|100.0|100.0|-92.45312858131989|-92.95571407844375|-91.95054308419603|3.4484264449300097|3.4484264449300097|3.4484264449300097|0.087296297000042|0.087296297000042|0.087296297000042
sem sombreamento e sem obstáculo|89.0|68.0|68.0|68.0|100.0|100.0|100.0|-93.4096334039312|-93.9049350532688|-92.91433175459359|3.290753484000015|3.290753484000015|3.290753484000015|0.08729629999994787|0.08729629999994787|0.08729629999994787
